id,context_tweet,text,WOMEN,PRED_WOMEN_gpt,PRED_WOMEN_beto,PRED_WOMEN_mixtral,pred_cot_gpt,pred_cot_mixtral,regional
398914,Mara Gómez: la historia de la primera futbolista trans en el torneo argentino https://t.co/rBx3pMPUbB https://t.co/l5I1j0xFku,"@usuario Ponga huevos, Mara ponga huevos...",False,0,0,1,"El texto alienta a Mara Gómez como futbolista, pero utiliza la expresión ""ponga huevos"" de manera discriminatoria, con el objetivo de cuestionar su masculinidad y su identidad de género como mujer trans. La respuesta final es ""lgbti"".","El texto alude a la falta de ""huevos"" de Mara Gómez, un término que se utiliza para referirse a la falta de coraje o valentía. Esto es ofensivo y despectivo. La respuesta final es ""mujer, lgbti"".",True
349746,Graciana Peñafort: “La marcha me dio mucha pena y tuvo un nivel de convocatoria menor al esperado” https://t.co/sPiBqGmFIg,@usuario Chúpame la japi gorda mamerta,True,0,1,1,"El texto contiene insultos y descalificaciones hacia Graciana Peñafort, pero no hace referencia a ninguna característica protegida. La respuesta final es ""nada"".","El texto insulta a Graciana Peñafort por su aspecto físico y su supuesta falta de feminidad. La respuesta final es ""mujer"".",True
337767,El kirchnerismo creó un organismo para supervisar qué noticias se publican en los medios de comunicación https://t.co/DtJ9zs1BII,"@usuario Una montonera que le arruinó la vida de Beatriz Salomón, y encima le dan un cargo 😡",False,0,0,1,"El texto menciona a Beatriz Salomón, quien fue una actriz y modelo argentina que había criticado al kirchnerismo y a los Montoneros. El término ""montonera"" se refiere a un grupo armado peronista durante la década del 70 en Argentina. Al mencionar esto de manera despectiva, el texto puede ser considerado como una forma de desprecio por la relación de la persona con el kirchnerismo, pero no contiene discurso de odio hacia una característica protegida específica. La respuesta final es ""nada"".","El texto se refiere a una persona como ""montonera"", un término despectivo que se utiliza para referirse a los seguidores de la expresidenta Cristina Fernández de Kirchner. La respuesta final es ""mujer"".",False
336629,"Una mujer que violó la cuarentena mordió y les arrojó gas pimienta a tres policías: “No es estado de sitio, no me podés tocar, un decreto no está por encima de la Constitución” https://t.co/lZ16BRgo1p",@usuario @usuario Que tendrá que ver  mal nacida seguro que anda mordiendo a quien se  le acerca,False,0,0,1,"El texto contiene insultos como ""mal nacida"", pero no hace referencia a ninguna característica protegida. La respuesta final es ""nada"".","El texto se refiere a la mujer como ""mal nacida"", un insulto que implica que ella es de baja calidad moral. La respuesta final es ""mujer"".",False
379284,"Alberto Fernández: ""Las mujeres mueven el mundo, pero algunos hombres las ayudamos a hacerlo"" https://t.co/IwCw2rv5z6 https://t.co/29vnBw04Sv",@usuario Las mujeres rompen los huevos.,True,1,0,1,"El texto tiene una connotación sexista, al reducir la labor y el rol de las mujeres a una tarea poco valorada (""romper los huevos""). Aunque el término mencionado no es un insulto directo, refleja una actitud despectiva hacia las mujeres. La respuesta final es ""mujer"".","El texto desprecia a las mujeres, aludiendo a su capacidad de procrear. La respuesta final es ""mujer"".",False
327577,Coronavirus y encierro forzoso: advierten que puede aumentar la violencia contra mujeres y niños https://t.co/Sg0V0qNAhp,@usuario ufff... como rompen las pelotas..,False,0,0,1,"El texto no contiene discurso de odio hacia ninguna característica protegida, ya que solamente expresa hartazgo o fastidio sin hacer referencia a un grupo en particular. La respuesta final es ""nada"".","El texto se refiere a las mujeres y niños que sufren violencia como que ""rompen las pelotas"", una expresión despectiva. La respuesta final es ""mujer, clase"".",True
369464,"Marcelo Tinelli, entre rumores de romance con Laurita Fernández y su reconciliación con Guillermina Valdés https://t.co/WX23HPycpd",@usuario O sea que hasta ahora nunca habían 👉👌? andaaa 😳,False,0,0,1,"El texto contiene una alusión sexual (👉👌) pero no hay discurso de odio ni menciona ninguna característica protegida. La respuesta final es ""nada"".","El texto se refiere a la vida amorosa de Marcelo Tinelli, sugiriendo que tiene relaciones sexuales con varias mujeres. Esto muestra un desprecio hacia las mujeres, al tratarlas como objetos sexuales. La respuesta final es ""mujer"".",False
380799,😱[¡SORPRESA!]😱 ¿More Rial encontró el amor en un personal trainer? &gt;&gt;&gt; La mediática compartió una transmisión en vivo con un apuesto entrenador personal donde se mostraron muy íntimos. ¡Mirá el video! https://t.co/awXwWic01Q,@usuario Habla de amor Y cambia de novio a cada rato... Le debe gustar el COLESTEROL AL LOCO ESE,False,0,0,1,"El texto hace mención al aspecto físico de More Rial de manera despectiva (""le debe gustar el COLESTEROL AL LOCO ESE"") pero no contiene expresiones de odio hacia ninguna característica protegida. La respuesta final es ""nada"".","El texto critica a More Rial por cambiar de novio con frecuencia, y lo hace con un tono despectivo. La respuesta final es ""mujer"".",False
386173,"Mujer decapitó a su esposo, se fue a ""pasear"" con la cabeza y vecinos casi la linchan #PusoElCráneoEnUnaBolsa #YSeFueADarUnaVueltita!! #LaGenteDelBarrioIntentóAyudarla #PeroCuandoDescubrieronElHorrorLaMolieronaGolpes #MiráDóndePasó #ImágenesTerribles!! https://t.co/enriokGTtK",@usuario Lincharla hubiera sido violencia de genero...,False,1,0,1,"El texto menciona ""violencia de género"" de manera sarcástica, negando la posibilidad de que la mujer decapitó a su esposo sea considerada violencia de género. Además, utiliza un tono burlón al referirse a la situación. La respuesta final es ""mujer"".","El texto hace una burla de la violencia de género, sugiriendo que la justicia no debería aplicarse a las mujeres. La respuesta final es ""mujer"".",False
399796,La sorprendente jura de una egresada universitaria: tachó Patria y puso Matria https://t.co/NjgZVVQJ2y https://t.co/txZNslH8N1,"@usuario Aaaayyy pero q nivel de rebeldía, el Che y Maldonado son unos porotos al lado tuyo. Va a cambiar el mundo desde la Facultad de Diseño.",False,1,0,1,"El texto se burla de la accion de una egresada universitaria que tachó la palabra ""Patria"" y escribió ""Matria"" como forma de protestar y expresar su postura feminista. Si bien no contiene un discurso de odio hacia la mujer en general, sí se burla y descalifica de manera sarcástica a la persona por su acción, minimizando su protesta y su compromiso social. La respuesta final es ""mujer"".","El texto se burla de la activista por sus creencias políticas. Aunque no es un insulto directo, es una burla hacia la activista y su compromiso con la justicia social. La respuesta final es 'mujer'.",False
